2010-12-21,111
2010-12-22,122
2010-12-23,127
2010-12-24,113
2010-12-25,113
2010-12-26,123
2010-12-27,126
2010-12-28,107
2010-12-29,102
2010-12-30,88.1
2010-12-31,85.5
2011-01-01,87.7
2011-01-02,94.6
2011-01-03,83.6
2011-01-04,82.8
2011-01-05,73.8
2011-01-06,82.7
2011-01-07,80.4
2011-01-08,83.3
2011-01-09,85.9
2011-01-10,80.8
2011-01-11,87.3
2011-01-12,93.7
2011-01-13,94
2011-01-14,91.4
2011-01-15,92.3
2011-01-16,88.7
2011-01-17,85.4
2011-01-18,89.3
2011-01-19,99.4
2011-01-20,96.9
2011-01-21,100
2011-01-22,99.7
2011-01-23,108
2011-01-24,109
2011-01-25,103
2011-01-26,100
2011-01-27,98.5
2011-01-28,101
2011-01-29,105
2011-01-30,102
2011-01-31,99.7
2011-02-01,97.3
2011-02-02,102
2011-02-03,102
2011-02-04,102
2011-02-05,107
2011-02-06,112
2011-02-07,108
2011-02-08,105
2011-02-09,88.2
2011-02-10,79.3
2011-02-11,78.8
2011-02-12,70.8
2011-02-13,62.7
2011-02-14,67.2
2011-02-15,73.9
2011-02-16,80.9
2011-02-17,75.8
2011-02-18,75.5
2011-02-19,76.8
2011-02-20,72
2011-02-21,78.6
2011-02-22,80.4
2011-02-23,79.5
2011-02-24,72.1
2011-02-25,64.1
2011-02-26,72.3
2011-02-27,78.3
2011-02-28,85.2
2011-03-01,89.4
2011-03-02,89.6
2011-03-03,90.5
2011-03-04,89.1
2011-03-05,78.9
2011-03-06,71.4
2011-03-07,72.8
2011-03-08,79.7
2011-03-09,83.1
2011-03-10,83.7
2011-03-11,71.6
2011-03-12,58.7
2011-03-13,58.1
2011-03-14,61.2
2011-03-15,51.9
2011-03-16,52.1
2011-03-17,60.5
2011-03-18,55.4
2011-03-19,62
2011-03-20,61.9
2011-03-21,64.2
2011-03-22,61.7
2011-03-23,59.5
2011-03-24,57.2
2011-03-25,56.9
2011-03-26,53.7
2011-03-27,53.3
2011-03-28,53.3
2011-03-29,54.3
2011-03-30,53.6
2011-03-31,55.2
